Nome,URL,Estrelas,Linguagem,Idade (anos),PRs aceitas,Total de releases,PRs por ano,Releases por ano,Dias desde última atualização,Issues abertas,Issues fechadas,% issues fechadas
bayandin/awesome-awesomeness,https://github.com/bayandin/awesome-awesomeness,33624,Ruby,12.13,197,0,16.2407,0.0,814.1011,20,52,72.2
apache/kafka,https://github.com/apache/kafka,33623,Java,15.03,13906,0,925.2162,0.0,0.0203,0,0,
shadowsocks/shadowsocks,https://github.com/shadowsocks/shadowsocks,33558,Python,14.35,70,2,4.878,0.1394,876.67,0,0,
MetaCubeX/mihomo,https://github.com/MetaCubeX/mihomo,33546,Python,5.26,324,62,61.597,11.7871,0.6267,452,1543,77.3
microsoft/WSL,https://github.com/microsoft/WSL,33519,C++,10.38,1459,110,140.5588,10.5973,0.0377,918,11535,92.6
tinygrad/tinygrad,https://github.com/tinygrad/tinygrad,33506,Python,5.85,12450,16,2128.2051,2.735,0.0012,115,1070,90.3
XX-net/XX-Net,https://github.com/XX-net/XX-Net,33448,Python,11.61,364,390,31.3523,33.5917,65.0544,7922,5446,40.7
nicolargo/glances,https://github.com/nicolargo/glances,33427,Python,14.72,833,61,56.5897,4.144,2.3841,93,2128,95.8
lutzroeder/netron,https://github.com/lutzroeder/netron,33401,JavaScript,15.66,1,9,0.0639,0.5747,0.0274,16,1257,98.7
AFNetworking/AFNetworking,https://github.com/AFNetworking/AFNetworking,33392,Objective-C,15.24,710,40,46.5879,2.6247,1316.2377,0,0,
motiondivision/motion,https://github.com/motiondivision/motion,33359,TypeScript,7.77,1285,0,165.3797,0.0,5.64,104,1840,94.7
linshenkx/prompt-optimizer,https://github.com/linshenkx/prompt-optimizer,33353,TypeScript,1.53,60,47,39.2157,30.719,12.4508,7,217,96.9
dgtlmoon/changedetection.io,https://github.com/dgtlmoon/changedetection.io,33344,Python,5.57,1185,216,212.7469,38.7792,0.2001,312,1434,82.1
mckaywrigley/chatbot-ui,https://github.com/mckaywrigley/chatbot-ui,33339,TypeScript,3.46,281,0,81.2139,0.0,753.0238,192,819,81.0
